what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.css.core,1.1.401.v201008161749,"org.eclipse.wst.css.core",1298410209218
started,bundle,org.eclipse.wst.css.ui,1.0.501.v201008232042,"org.eclipse.wst.css.ui",1298410209343
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1298410209390
started,bundle,org.eclipse.wst.html.core,1.1.402.v201008311901,"org.eclipse.wst.html.core",1298410209484
started,bundle,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.ui",1298410209531
started,bundle,org.eclipse.wst.jsdt.core,1.1.2.v201009011528,"org.eclipse.wst.jsdt.core",1298410209562
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1298410209593
started,bundle,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui",1298410209703
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.302.v201009091745,"org.eclipse.wst.jsdt.web.core",1298410209750
started,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.301.v201007080222,"org.eclipse.wst.jsdt.web.support.jsp",1298410209781
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.302.v201009091745,"org.eclipse.wst.jsdt.web.ui",1298410209937
started,bundle,org.eclipse.wst.server.core,1.1.204.v20100908,"org.eclipse.wst.server.core",1298410209953
started,bundle,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui",1298410209953
started,bundle,org.eclipse.wst.sse.core,1.1.502.v201008311901,"org.eclipse.wst.sse.core",1298410210000
started,bundle,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui",1298410210140
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1298410210140
started,bundle,org.eclipse.wst.web,1.1.401.v201007151900,"org.eclipse.wst.web",1298410210187
started,bundle,org.eclipse.wst.xml.core,1.1.502.v201009010342,"org.eclipse.wst.xml.core",1298410210312
started,bundle,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui",1298410210484
os,sysinfo,,,"win32",1298410210515
arch,sysinfo,,,"x86",1298410210515
ws,sysinfo,,,"win32",1298410210515
locale,sysinfo,,,"nl_BE",1298410210515
processors,sysinfo,,,"1",1298410210515
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1298410210515
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1298410210515
java.specification.name,sysinfo,,,"Java Platform API Specification",1298410210515
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1298410210515
java.specification.version,sysinfo,,,"1.6",1298410210515
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1298410210515
java.version,sysinfo,,,"1.6.0_24",1298410210515
java.vm.info,sysinfo,,,"mixed mode",1298410210515
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1298410210515
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1298410210515
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1298410210515
java.vm.specification.version,sysinfo,,,"1.0",1298410210515
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1298410210515
java.vm.version,sysinfo,,,"19.1-b02",1298410210515
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1298410210812
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1298410210859
started,bundle,org.eclipse.wst.dtd.core,1.1.400.v201004290328,"org.eclipse.wst.dtd.core",1298410212234
started,bundle,org.eclipse.wst.wsdl.validation,1.1.501.v201004201506,"org.eclipse.wst.wsdl.validation",1298410214515
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1298410214703
started,bundle,org.eclipse.wst.xsd.core,1.1.502.v201008201521,"org.eclipse.wst.xsd.core",1298410214812
started,bundle,org.eclipse.jst.servlet.ui,1.1.402.v201008261918,"org.eclipse.jst.servlet.ui",1298410215062
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1298410215484
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1298410217593
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1298410217656
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.run",1298410223453
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1298410224031
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1298410227375
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1298410231796
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1298410237015
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1298410269312
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1298410271625
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298410276812
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298410503328
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298410504187
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298410505390
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298410506031
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298410511562
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298410512906
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298410612500
